No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,LCSC Price
1,1,2462,BAT1,BAT-TH_2P-P14.50_2462,,2462,Keystone,C3029547,LCSC,$1.31
2,5,10uF,"C1,C3,C4,C5,C6",CAP-TH_BD4.0-P1.50-D0.8-FD,10uF,KS106M025C07RR0VH2FP0,Chengx(承兴),C43351,LCSC,$0.64
3,1,100nF,C2,CAP-TH_L4.2-W3.5-P2.54-D0.5,100nF,178MU0006,KNSCHA(科尼盛),C5632430,LCSC,$0.64
4,2,2.54-1x6P直针,"H1,H2",HDR-TH_6P-P2.54-V-M-1,,2.54-1x6P直针,BOOMELE(博穆精密),C37208,LCSC,$0.64
5,11,10kΩ,"R1,R2,R3,R4,R5,R7,R8,R9,R10,R11,R12",RES-TH_BD2.4-L6.3-P10.30-D0.6,10kΩ,RN1/4W10KFT/BA1,Tyohm(幸亚电阻),C410695,LCSC,$0.49
6,1,75kΩ,R6,RES-TH_BD2.4-L6.3-P10.30-D0.6,75kΩ,RN 1/4W 75K F T/B A1,Tyohm(幸亚电阻),C410583,LCSC,$0.47
7,1,SK12D07VG5,SW1,SW-TH_SK12D07VG5-1,,SK12D07VG5,SHOU HAN(首韩),C431548,LCSC,$0.42
8,1,2.4GHz,U1,WIFIM-SMD_ESP-12F-ESP8266MOD,2.4GHz,ESP-12F(ESP8266MOD),Ai-Thinker(安信可),C82891,LCSC,$2.26
9,2,TC-6610 6*6*5 160g,"U2,U3",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,,TC-6610 6*6*5 160g,FG(富港),C7528706,LCSC,$0.18
10,5,HC-PZ254-11.5L-1x3PZ,"U4,U5,U6,U7,U11",HDR-TH_3P-P2.54-V-M,,HC-PZ254-11.5L-1x3PZ,HC(虹成电子),C27985188,LCSC,$0.77
11,1,AMS1117-5.0,U8,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,,AMS1117-5.0,HXY MOSFET(华轩阳电子),C5345984,LCSC,$0.29
12,1,AMS1117-3.3,U9,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,,AMS1117-3.3,UMW(友台半导体),C347222,LCSC,$0.40
13,1,HS96L03W2C03,U10,OLED-TH_L27.8-W27.2-P2.54_C9900033791,,HS96L03W2C03,HS(汉昇),C5248080,LCSC,$2.01
14,4,Servo,"U12,U13,U14,U15",Servo,,SG92R Servo Motor,Tower Pro,,ElectroPeak,$7.77
,,,,,,Male/Male Jumper Wires 40,,,ElectroPeak,$0.87
,,,,,,Male/Female Jumper Wires 40,,,ElectroPeak,$0.76
,,,,,,Robodog_PCB,,,JLCPCB,$7.20
,,,,,,Robodog Leg Lid,,,JLC3DP,$0.30
,,,,,,Robodog Lid,,,JLC3DP,$2.78
,,,,,,Robodog Leg Lid,,,JLC3DP,$0.30
,,,,,,Robodog Case,,,JLC3DP,$15.21
